Feature-Set;NSHAP-Value
season,mnth,atemp,hum;14.5356
season,mnth,atemp,windspeed;1.1876
season,mnth,hum,windspeed;0.0770
season,holiday,weekday,workingday;-0.0000
season,holiday,weekday,weathersit;-0.0156
season,holiday,weekday,temp;-0.3484
season,holiday,weekday,atemp;-0.2454
season,holiday,weekday,hum;-0.1066
season,holiday,weekday,windspeed;0.3685
season,holiday,workingday,weathersit;-0.0000
season,holiday,workingday,temp;-0.0000
season,holiday,workingday,atemp;-0.0000
season,holiday,workingday,hum;-0.0000
season,holiday,workingday,windspeed;-0.0000
season,holiday,weathersit,temp;0.2123
season,holiday,weathersit,atemp;0.0379
season,holiday,weathersit,hum;0.0669
season,holiday,weathersit,windspeed;-0.0538
season,holiday,temp,atemp;1.0120
season,holiday,temp,hum;4.7890
season,holiday,temp,windspeed;0.5511
season,holiday,atemp,hum;0.9299
season,holiday,atemp,windspeed;0.9044
season,holiday,hum,windspeed;-0.0235
season,weekday,workingday,weathersit;-0.6266
season,weekday,workingday,temp;8.9067
season,weekday,workingday,atemp;2.3658
season,weekday,workingday,hum;0.2388
season,weekday,workingday,windspeed;-1.0615
season,weekday,weathersit,temp;0.0772
season,weekday,weathersit,atemp;0.8926
season,weekday,weathersit,hum;-2.0090
season,weekday,weathersit,windspeed;-1.4391
season,weekday,temp,atemp;-16.4764
season,weekday,temp,hum;28.0708
season,weekday,temp,windspeed;30.1886
season,weekday,atemp,hum;0.5287
season,weekday,atemp,windspeed;1.9780
season,weekday,hum,windspeed;-4.3236
season,workingday,weathersit,temp;-0.5665
season,workingday,weathersit,atemp;1.0429
season,workingday,weathersit,hum;-3.2994
season,workingday,weathersit,windspeed;0.6350
season,workingday,temp,atemp;45.8546
season,workingday,temp,hum;-8.9144
season,workingday,temp,windspeed;2.6216
season,workingday,atemp,hum;-10.4810
season,workingday,atemp,windspeed;4.3107
season,workingday,hum,windspeed;0.8789
season,weathersit,temp,atemp;3.3391
season,weathersit,temp,hum;9.9835
season,weathersit,temp,windspeed;0.8212
season,weathersit,atemp,hum;4.6675
season,weathersit,atemp,windspeed;-1.4759
season,weathersit,hum,windspeed;1.3265
season,temp,atemp,hum;-1.8978
season,temp,atemp,windspeed;-20.0788
season,temp,hum,windspeed;23.3763
season,atemp,hum,windspeed;8.2878
mnth,holiday,weekday,workingday;-0.0000
mnth,holiday,weekday,weathersit;-0.0059
mnth,holiday,weekday,temp;-0.1387
mnth,holiday,weekday,atemp;-0.1105
mnth,holiday,weekday,hum;0.0320
mnth,holiday,weekday,windspeed;-0.0589
mnth,holiday,workingday,weathersit;-0.0000
mnth,holiday,workingday,temp;-0.0000
mnth,holiday,workingday,atemp;-0.0000
mnth,holiday,workingday,hum;-0.0000
mnth,holiday,workingday,windspeed;-0.0000
mnth,holiday,weathersit,temp;0.0555
mnth,holiday,weathersit,atemp;0.0112
mnth,holiday,weathersit,hum;-0.0063
mnth,holiday,weathersit,windspeed;0.0116
mnth,holiday,temp,atemp;-0.0348
mnth,holiday,temp,hum;0.1369
mnth,holiday,temp,windspeed;0.1166
mnth,holiday,atemp,hum;-0.2257
mnth,holiday,atemp,windspeed;0.0684
mnth,holiday,hum,windspeed;0.0311
mnth,weekday,workingday,weathersit;-0.3128
mnth,weekday,workingday,temp;0.5435
mnth,weekday,workingday,atemp;-1.7301
mnth,weekday,workingday,hum;1.5907
mnth,weekday,workingday,windspeed;-3.3746
mnth,weekday,weathersit,temp;0.2110
mnth,weekday,weathersit,atemp;-0.6085
mnth,weekday,weathersit,hum;-1.3839
mnth,weekday,weathersit,windspeed;-0.8172
mnth,weekday,temp,atemp;12.0702
mnth,weekday,temp,hum;17.2834
mnth,weekday,temp,windspeed;15.7877
mnth,weekday,atemp,hum;-5.3056
mnth,weekday,atemp,windspeed;13.0869
mnth,weekday,hum,windspeed;-10.2576
mnth,workingday,weathersit,temp;0.4600
mnth,workingday,weathersit,atemp;0.1802
mnth,workingday,weathersit,hum;0.0618
mnth,workingday,weathersit,windspeed;1.0996
mnth,workingday,temp,atemp;0.7345
mnth,workingday,temp,hum;-6.5121
mnth,workingday,temp,windspeed;2.1741
mnth,workingday,atemp,hum;-4.0494
mnth,workingday,atemp,windspeed;3.5146
mnth,workingday,hum,windspeed;-3.8826
mnth,weathersit,temp,atemp;3.1203
mnth,weathersit,temp,hum;-14.6073
mnth,weathersit,temp,windspeed;1.7883
mnth,weathersit,atemp,hum;-8.8329
mnth,weathersit,atemp,windspeed;-1.5503
mnth,weathersit,hum,windspeed;3.0872
mnth,temp,atemp,hum;-10.7889
